/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 1: Black 39, Red 25
/home/jonas-petersen/dev/Othello_with_RL/rl_agent/rl_agent.py:63: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = F.mse_loss(q_vals[0, action_idx], torch.tensor(target_q, dtype=torch.float32, device=self.device))
Episode 2: Black 59, Red 5
Episode 3: Black 25, Red 39
Episode 4: Black 33, Red 31
Episode 5: Black 53, Red 11
Episode 6: Black 41, Red 23
Episode 7: Black 23, Red 41
Episode 8: Black 20, Red 44
Episode 9: Black 18, Red 46
Episode 10: Black 0, Red 46
Episode 11: Black 24, Red 40
Episode 12: Black 19, Red 45
Episode 13: Black 23, Red 41
Episode 14: Black 27, Red 37
Episode 15: Black 28, Red 36
Episode 16: Black 44, Red 20
Episode 17: Black 6, Red 35
Episode 18: Black 18, Red 46
Episode 19: Black 47, Red 17
Episode 20: Black 51, Red 13
Episode 21: Black 27, Red 37
Episode 22: Black 34, Red 30
Episode 23: Black 33, Red 31
Episode 24: Black 24, Red 40
Episode 25: Black 41, Red 23
Episode 26: Black 2, Red 60
Episode 27: Black 33, Red 31
Episode 28: Black 43, Red 21
Episode 29: Black 23, Red 39
Episode 30: Black 16, Red 48
Episode 31: Black 0, Red 46
Episode 32: Black 21, Red 43
Episode 33: Black 28, Red 36
Episode 34: Black 32, Red 32
Episode 35: Black 25, Red 39
Episode 36: Black 25, Red 39
Episode 37: Black 22, Red 42
Episode 38: Black 24, Red 40
Episode 39: Black 25, Red 39
Episode 40: Black 51, Red 13
Episode 41: Black 21, Red 43
Episode 42: Black 26, Red 38
Episode 43: Black 26, Red 38
Episode 44: Black 29, Red 35
Episode 45: Black 22, Red 42
Episode 46: Black 24, Red 40
Episode 47: Black 25, Red 39
Episode 48: Black 28, Red 36
Episode 49: Black 19, Red 45
Episode 50: Black 27, Red 37
Episode 51: Black 19, Red 45
Episode 52: Black 26, Red 38
Episode 53: Black 30, Red 34
Episode 54: Black 8, Red 56
Episode 55: Black 18, Red 46
Episode 56: Black 45, Red 19
Episode 57: Black 37, Red 27
Episode 58: Black 27, Red 37
Episode 59: Black 16, Red 48
Episode 60: Black 39, Red 25
Episode 61: Black 18, Red 46
Episode 62: Black 22, Red 42
Episode 63: Black 22, Red 42
Episode 64: Black 23, Red 41
Episode 65: Black 28, Red 36
Episode 66: Black 39, Red 25
Episode 67: Black 30, Red 34
Episode 68: Black 37, Red 27
Episode 69: Black 45, Red 19
Episode 70: Black 32, Red 32
Episode 71: Black 28, Red 36
Episode 72: Black 26, Red 38
Episode 73: Black 37, Red 27
Episode 74: Black 25, Red 39
Episode 75: Black 27, Red 37
Episode 76: Black 32, Red 32
Episode 77: Black 35, Red 29
Episode 78: Black 24, Red 40
Episode 79: Black 19, Red 45
Episode 80: Black 30, Red 34
Episode 81: Black 31, Red 33
Episode 82: Black 19, Red 45
Episode 83: Black 27, Red 37
Episode 84: Black 1, Red 63
Episode 85: Black 23, Red 41
Episode 86: Black 50, Red 14
Episode 87: Black 28, Red 36
Episode 88: Black 42, Red 22
Episode 89: Black 14, Red 50
Episode 90: Black 19, Red 45
Episode 91: Black 35, Red 29
Episode 92: Black 42, Red 22
Episode 93: Black 31, Red 33
Episode 94: Black 27, Red 37
Episode 95: Black 22, Red 42
Episode 96: Black 34, Red 30
Episode 97: Black 35, Red 29
Episode 98: Black 31, Red 33
Episode 99: Black 0, Red 48
Episode 100: Black 31, Red 33
Episode 101: Black 24, Red 40
Episode 102: Black 0, Red 46
Episode 103: Black 8, Red 56
Episode 104: Black 31, Red 33
Episode 105: Black 30, Red 34
Episode 106: Black 20, Red 44
Episode 107: Black 17, Red 47
Episode 108: Black 28, Red 36
Episode 109: Black 33, Red 31
Episode 110: Black 37, Red 27
Episode 111: Black 33, Red 31
Episode 112: Black 41, Red 23
Episode 113: Black 30, Red 34
Episode 114: Black 23, Red 41
Episode 115: Black 27, Red 37
Model saved to rl_agent/models/oppGreedyGreta_115Episodes.pth
Testing trained agent vs GreedyGreta...
Test results over 20 games: Wins: 0, Losses: 20, Draws: 0
